,,2006-2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,
PopTitle,Geography,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI
Total,United States,1.2,0,0,0,1,0,0,0,0.9,0,0,0,1,0,0,0,1.1,0,0,0,1.1,,,,0.9,0,0,0,1,,,,1,,,,0.9,,,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Male,United States,1.2,0,0,0,0.9,0,0,0,0.9,0,0,0,0.9,0,0,0,1.1,0,0,0,1,0,0,0,0.9,0,0,0,0.8,0,0,0,0.9,,,,0.8,,,
   Female,United States,1.2,0,0,0,1.1,0,0,0,1,0,0,0,1.1,0,0,0,1.1,0,0,0,1.3,0,0,0,1,0,0,0,1,0,0,0,1.1,,,,0.9,,,
Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   <18 years,United States,2.7,0,0,0,2.3,0,0,0,2.2,0,0,0,2.1,0,0,0,2.7,0,0,0,2.7,0,0,0,2.1,0,0,0,2.3,0,0,0,2.5,,,,1.9,,,
      0-4 years,United States,4,0,0,0,3.6,0,0,0,3.5,0,0,0,3.7,0,0,0,4.8,0,0,0,4.2,0,0,0,3.3,0,0,0,3.8,,,,4.5,,,,3,,,
      5-11 years,United States,2.4,0,0,0,2.1,0,0,0,2.1,0,0,0,1.8,0,0,0,2.3,0,0,0,2.6,0,0,0,1.9,0,0,0,2.3,0,0,0,2.1,,,,1.7,,,
      12-17 years,United States,1.9,0,0,0,1.6,0,0,0,1.2,0,0,0,1.2,0,0,0,1.5,0,0,0,1.6,0,0,0,1.3,0,0,0,1.3,0,0,0,1.4,,,,1.1,,,
   18-44 years,United States,0.7,0,0,0,0.7,0,0,0,0.6,0,0,0,0.6,0,0,0,0.8,0,0,0,0.8,0,0,0,0.7,0,0,0,0.7,0,0,0,0.8,,,,0.6,,,
      18-24 years,United States,1.4,0,0,0,1.4,0,0,0,1,0,0,0,1,0,0,0,1.4,0,0,0,1.4,0,0,0,1.2,0,0,0,1,0,0,0,1.2,,,,0.9,,,
      25-44 years,United States,0.5,0,0,0,0.4,0,0,0,0.5,0,0,0,0.5,0,0,0,0.6,0,0,0,0.6,0,0,0,0.5,0,0,0,0.6,0,0,0,0.6,,,,0.5,,,
   45-64 years,United States,0.6,0,0,0,0.4,0,0,0,0.4,0,0,0,0.5,0,0,0,0.4,0,0,0,0.5,0,0,0,0.4,0,0,0,0.3,0,0,0,0.3,,,,0.4,,,
      45-54 years,United States,0.6,0,0,0,0.4,0,0,0,0.4,0,0,0,0.4,0,0,0,0.4,0,0,0,0.4,0,0,0,0.3,0,0,0,0.3,0,0,0,0.4,,,,0.3,,,
      55-64 years,United States,0.6,0,0,0,0.5,0,0,0,0.4,0,0,0,0.7,0,0,0,0.4,0,0,0,0.6,0,0,0,0.5,0,0,0,0.4,0,0,0,0.3,,,,0.5,,,
   65 years and over,United States,0.9,0,0,0,0.5,0,0,0,0.8,0,0,0,0.9,,,,0.7,0,0,0,0.7,0,0,0,0.6,0,0,0,0.5,0,0,0,0.7,,,,0.7,,,
      65-74 years,United States,0.9,0,0,0,0.6,0,0,0,0.7,0,0,0,0.8,0,0,0,0.6,0,0,0,0.7,0,0,0,0.7,0,0,0,0.5,0,0,0,0.7,,,,0.8,,,
